,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
0,0.0,0.0,0.0,-2.0,0.0,0.0
1,0.0,0.0,0.0,-2.0,0.0,0.0
2,0.0,0.006,-0.066,0.03225,-0.06,0.62
3,0.0,0.0,0.0,-2.0,0.0,0.0
4,0.0,0.006,-0.066,0.03225,-0.06,0.62
5,0.0,0.0,0.0,-2.0,0.0,0.0
6,0.0,0.006,-0.066,0.03225,-0.06,0.62
7,0.0,0.0,0.0,-2.0,0.0,0.0
8,0.0,0.009,-0.07,0.02775,-0.06,0.61
9,0.0,0.0,0.0,-2.0,0.0,0.0
10,0.0,0.009,-0.07,0.02775,-0.06,0.61
11,0.0,0.0,0.0,-2.0,0.0,0.0
12,0.0,0.00475,-0.07425,0.05825,-0.06,0.6
13,0.0,0.0,0.0,-2.0,0.0,0.0
14,0.0,0.00475,-0.07425,0.05825,-0.06,0.6
15,0.0,0.0,0.0,-2.0,0.0,0.0
16,0.0,0.00125,-0.042,0.0385,-0.06,0.59
17,0.0,0.0,0.0,-2.0,0.0,0.0
18,0.0,0.00125,-0.042,0.0385,-0.06,0.59
19,0.0,0.0,0.0,-2.0,0.0,0.0
20,0.0,0.025,-0.0795,0.04625,-0.06,0.59
21,0.0,0.0,0.0,-2.0,0.0,0.0
22,0.0,0.025,-0.0795,0.04625,-0.06,0.59
23,0.0,0.0,0.0,-2.0,0.0,0.0
24,0.0,0.00075,-0.0625,0.0355,-0.06,0.57
25,0.0,0.0,0.0,-2.0,0.0,0.0
26,0.0,0.00075,-0.0625,0.0355,-0.06,0.57
27,0.0,0.0,0.0,-2.0,0.0,0.0
28,0.0,-0.0015,-0.0585,0.0365,-0.06,0.57
29,0.0,0.0,0.0,-2.0,0.0,0.0
30,0.0,0.01075,-0.06075,0.049,-0.06,0.56
31,0.0,0.0,0.0,-2.0,0.0,0.0
32,0.0,0.01075,-0.06075,0.049,-0.06,0.56
33,0.0,0.0,0.0,-2.0,0.0,0.0
34,0.0,-0.007,-0.07,0.03925,-0.06,0.55
35,0.0,0.0,0.0,-2.0,0.0,0.0
36,0.0,-0.007,-0.07,0.03925,-0.06,0.55
37,0.0,0.0,0.0,-2.0,0.0,0.0
38,0.0,-0.00725,-0.07675,0.06425,-0.06,0.53
39,0.0,0.0,0.0,-2.0,0.0,0.0
40,0.0,0.0095,-0.065,0.029,-0.06,0.52
41,0.0,0.0,0.0,-2.0,0.0,0.0
42,0.0,0.006,-0.0425,0.0285,-0.06,0.51
43,0.0,0.0,0.0,-2.0,0.0,0.0
44,0.0,-0.01375,-0.0605,0.0375,-0.06,0.5
45,0.0,0.0,0.0,-2.0,0.0,0.0
46,0.0,-0.00225,-0.04425,0.0505,-0.06,0.5
47,0.0,0.0,0.0,-2.0,0.0,0.0
48,0.0,0.007,-0.0565,0.0265,-0.06,0.48
49,0.0,0.0,0.0,-2.0,0.0,0.0
50,0.0,-0.01275,-0.049,0.0405,-0.06,0.48
51,0.0,0.0,0.0,-2.0,0.0,0.0
52,0.0,-0.0175,-0.0475,0.034,-0.06,0.47
53,0.0,0.0,0.0,-2.0,0.0,0.0
54,0.0,0.018,-0.0515,0.024,-0.06,0.45
55,0.0,0.0,0.0,-2.0,0.0,0.0
56,0.0,0.032,-0.05725,0.0035,-0.05,0.44
57,0.0,0.0,0.0,-2.0,0.0,0.0
58,0.0,-0.01275,-0.04125,0.05325,-0.04,0.43
59,0.0,0.0,0.0,-2.0,0.0,0.0
60,0.0,0.00575,-0.0505,0.044,-0.04,0.42
61,0.0,0.0,0.0,-2.0,0.0,0.0
62,0.0,0.00575,-0.0505,0.044,-0.04,0.42
63,0.0,0.0,0.0,-2.0,0.0,0.0
64,0.0,-0.00725,-0.063,0.0415,-0.04,0.41
65,0.0,0.0,0.0,-2.0,0.0,0.0
66,0.0,-0.00725,-0.063,0.0415,-0.04,0.41
67,0.0,0.0,0.0,-2.0,0.0,0.0
68,0.0,-0.00475,-0.06925,0.052,-0.04,0.41
69,0.0,0.0,0.0,-2.0,0.0,0.0
70,0.0,-0.00475,-0.06925,0.052,-0.04,0.41
71,0.0,0.0,0.0,-2.0,0.0,0.0
72,0.0,-0.00475,-0.06925,0.052,-0.04,0.41
73,0.0,0.0,0.0,-2.0,0.0,0.0
74,0.0,0.01625,-0.0635,0.019,-0.05,0.41
75,0.0,0.0,0.0,-2.0,0.0,0.0
76,0.0,0.01625,-0.0635,0.019,-0.05,0.41
77,0.0,0.0,0.0,-2.0,0.0,0.0
78,0.0,-0.0235,-0.051,0.0125,-0.04,0.4
79,0.0,0.0,0.0,-2.0,0.0,0.0
80,0.0,0.01875,-0.063,0.0325,-0.04,0.38
81,0.0,0.0,0.0,-2.0,0.0,0.0
82,0.0,-0.00125,-0.0465,0.02675,-0.04,0.38
83,0.0,0.0,0.0,-2.0,0.0,0.0
84,0.0,0.02875,-0.049,0.029,-0.04,0.37
85,0.0,0.0,0.0,-2.0,0.0,0.0
