,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
0,0.0,-0.0035,-0.016,0.0495,0.2,0.07
1,0.0,0.00075,-0.005,0.05675,0.08,0.13
2,0.0,-0.0135,0.01225,0.062,0.2,0.07
3,0.0,0.00075,-0.005,0.05675,0.08,0.13
4,0.0,0.02375,0.0115,0.06725,0.2,0.08
5,0.0,0.00075,-0.005,0.05675,0.08,0.13
6,0.0,0.02525,-0.051,0.03925,0.2,0.08
7,0.0,0.00075,-0.005,0.05675,0.08,0.13
8,0.0,-0.00325,0.01075,0.00925,0.19,0.11
9,0.0,0.00075,-0.005,0.05675,0.08,0.13
10,0.0,-0.0455,0.05625,-0.03725,0.15,0.15
11,0.0,0.00075,-0.005,0.05675,0.08,0.13
12,0.0,-0.07125,0.0455,0.049,0.14,0.16
13,0.0,0.00075,-0.005,0.05675,0.08,0.13
14,0.0,-0.07125,0.0455,0.049,0.14,0.16
15,0.0,0.00075,-0.005,0.05675,0.08,0.13
16,0.0,0.04,-0.00125,0.02125,0.13,0.18
17,0.0,0.00075,-0.005,0.05675,0.08,0.13
18,0.0,0.03575,-0.02775,0.05225,0.13,0.18
19,0.0,0.00075,-0.005,0.05675,0.08,0.13
20,0.0,0.03575,-0.02775,0.05225,0.13,0.18
21,0.0,0.00075,-0.005,0.05675,0.08,0.13
22,0.0,-0.0465,0.04475,0.10475,0.13,0.17
23,0.0,0.00075,-0.005,0.05675,0.08,0.13
24,0.0,0.01375,-0.006,0.07825,0.11,0.16
25,0.0,0.00075,-0.005,0.05675,0.08,0.13
26,0.0,0.02125,-0.002,0.10125,0.13,0.14
27,0.0,0.00075,-0.005,0.05675,0.08,0.13
28,0.0,0.03675,-0.001,0.08775,0.13,0.13
29,0.0,-0.019,-0.02375,0.064,0.13,-0.02
30,0.0,0.0065,0.01,0.06325,0.13,0.13
31,0.0,-0.019,-0.02375,0.064,0.13,-0.02
32,0.0,-0.022,0.00725,0.03725,0.13,0.12
33,0.0,-0.019,-0.02375,0.064,0.13,-0.02
34,0.0,-0.022,0.00725,0.03725,0.13,0.12
35,0.0,-0.019,-0.02375,0.064,0.13,-0.02
36,0.0,-0.03875,-0.01225,0.059,0.13,0.12
37,0.0,-0.019,-0.02375,0.064,0.13,-0.02
38,0.0,-0.03875,-0.01225,0.059,0.13,0.12
39,0.0,-0.019,-0.02375,0.064,0.13,-0.02
40,0.0,-0.00575,0.0,0.09575,0.13,0.12
41,0.0,-0.019,-0.02375,0.064,0.13,-0.02
42,0.0,0.03925,-0.0215,0.03675,0.14,0.12
43,0.0,-0.019,-0.02375,0.064,0.13,-0.02
44,0.0,0.03325,-0.0235,0.04875,0.15,0.12
45,0.0,-0.019,-0.02375,0.064,0.13,-0.02
46,0.0,0.02525,-0.00325,0.06275,0.15,0.12
47,0.0,-0.019,-0.02375,0.064,0.13,-0.02
48,0.0,0.01425,-0.00175,0.05125,0.15,0.12
49,0.0,-0.019,-0.02375,0.064,0.13,-0.02
50,0.0,0.006,-0.01325,0.01225,0.16,0.13
51,0.0,0.0185,-0.0335,0.05525,0.04,-0.08
52,0.0,0.006,-0.01325,0.01225,0.16,0.13
53,0.0,0.0185,-0.0335,0.05525,0.04,-0.08
